number,value,datetime_start,datetime_complete,duration,params_algorithm,params_batch_size,params_d_model,params_depth_multiplier,params_dropout,params_irm_lambda,params_kernel_length,params_lr,params_mixup_alpha,params_n_filters_1,params_n_filters_2,params_n_head,params_n_layers,params_net_architecture,params_weight_decay,state
68,0.23529411764705882,2025-06-13 02:19:39.387337,2025-06-13 02:20:34.652033,0 days 00:00:55.264696,IRM,32,128,,0.25197584832269115,0.162770794196587,32,0.0010443073888852046,,32,64,2,3,eegnet,4.309633586783535e-05,PRUNED
29,0.23529411764705882,2025-06-12 15:35:19.025428,2025-06-12 15:39:11.214173,0 days 00:03:52.188745,IRM,32,128,,0.4313968078676079,0.19631319097049935,32,0.0009394802737286016,,16,64,2,3,attention,2.654593945627021e-06,PRUNED
18,0.23529411764705882,2025-06-12 12:44:17.749112,2025-06-12 12:45:14.626509,0 days 00:00:56.877397,IRM,64,128,,0.4841860458863967,8.446225772004818,32,0.0024277686562016194,,32,64,2,3,eegnet,1.0978058693733553e-05,PRUNED
6,0.19607843137254902,2025-06-12 11:11:17.378498,2025-06-12 11:11:45.025390,0 days 00:00:27.646892,ERM,32,128,,0.12454000390020914,,64,0.0030728711610473938,,16,32,4,1,meegnet,5.406048328785446e-05,PRUNED
39,0.19607843137254902,2025-06-12 22:22:46.342274,2025-06-12 22:23:14.635133,0 days 00:00:28.292859,IRM,32,128,,0.1926177151965092,0.16698547138868594,32,0.0005153811770745574,,16,64,2,3,meegnet,0.00010364273122242573,PRUNED
42,0.19607843137254902,2025-06-12 22:35:05.693247,2025-06-12 22:35:33.348908,0 days 00:00:27.655661,ERM,32,128,,0.15276197898500682,,32,0.0005093265070795348,,16,64,2,2,meegnet,7.417613876200247e-05,PRUNED
31,0.19607843137254902,2025-06-12 15:42:53.264721,2025-06-12 15:43:24.813080,0 days 00:00:31.548359,ERM,32,128,,0.36218931042768865,,32,0.0009104364148064943,,8,64,2,2,meegnet,2.6695771946598983e-06,PRUNED
14,0.19607843137254902,2025-06-12 12:05:27.940388,2025-06-12 12:06:04.773131,0 days 00:00:36.832743,Mixup,64,128,,0.3643307960713607,,32,0.0013280395099160203,0.388198175174074,8,16,4,2,eegnet,0.0003523843191090706,PRUNED
20,0.19607843137254902,2025-06-12 12:46:11.654071,2025-06-12 12:47:01.145501,0 days 00:00:49.491430,IRM,32,128,,0.43091560977435567,2.6413045786912654,32,0.00828833959609659,,32,32,2,3,eegnet,7.405931613698069e-05,PRUNED
30,0.19607843137254902,2025-06-12 15:39:11.220437,2025-06-12 15:42:53.256171,0 days 00:03:42.035734,IRM,32,64,,0.319192895921755,1.1803909838077395,32,0.00019078124434068286,,32,64,2,3,meegnet,9.102785419783304e-06,PRUNED
50,0.19607843137254902,2025-06-12 23:34:15.535312,2025-06-12 23:34:52.791140,0 days 00:00:37.255828,IRM,32,128,,0.18062749697144875,0.22300029559838402,32,0.0005565803750533959,,16,16,2,3,eegnet,0.0002289969346896458,PRUNED
63,0.19607843137254902,2025-06-13 01:12:12.471331,2025-06-13 01:13:19.454901,0 days 00:01:06.983570,Mixup,32,128,,0.34388265274733376,,64,0.00036536027146267245,0.4103014664281971,32,64,2,3,eegnet,2.576522433913656e-05,PRUNED
52,0.19607843137254902,2025-06-12 23:41:17.416111,2025-06-12 23:42:10.340338,0 days 00:00:52.924227,ERM,32,128,,0.34588837190238525,,32,0.0002962486291140492,,32,32,2,3,eegnet,1.2389569683314393e-05,PRUNED
48,0.19607843137254902,2025-06-12 23:33:18.387978,2025-06-12 23:33:47.489506,0 days 00:00:29.101528,ERM,32,128,,0.30042326169395617,,32,0.0011666285219719531,,8,64,4,3,eegnet,6.219882984645104e-05,PRUNED
59,0.19607843137254902,2025-06-13 00:58:47.661294,2025-06-13 00:59:15.586336,0 days 00:00:27.925042,IRM,32,128,,0.23058247814832986,0.30658114180119117,32,0.000319822457663251,,8,16,4,3,attention,6.0988883170524844e-05,PRUNED
72,0.19607843137254902,2025-06-13 02:33:40.678519,2025-06-13 02:34:08.756529,0 days 00:00:28.078010,IRM,32,128,,0.2974429640272965,0.27606241077606425,32,0.0008029815591841032,,8,16,2,2,attention,6.820948025360584e-05,PRUNED
73,0.16666666666666666,2025-06-13 15:37:38.514930,2025-06-13 15:38:06.083596,0 days 00:00:27.568666,IRM,32,128,2.0,0.2729227770073364,0.11559115427012519,32,0.0006451339632440709,,32,64,2,3,meegnet,1.830883733015326e-06,PRUNED
74,0.16666666666666666,2025-06-13 15:38:06.093123,2025-06-13 15:38:28.648065,0 days 00:00:22.554942,IRM,32,128,4.0,0.2623138478785191,0.2458377148667344,32,0.00044862450340490793,,32,64,2,3,eegnet,9.47447350000886e-05,PRUNED
58,0.0,2025-06-13 00:58:33.955833,2025-06-13 00:58:47.649044,0 days 00:00:13.693211,Mixup,64,128,,0.3076560452645904,,32,0.0004126442288551947,0.3410086885194611,32,64,2,3,eegnet,3.2408286310768936e-05,COMPLETE
0,,2025-06-12 10:10:31.613560,2025-06-12 10:10:40.494113,0 days 00:00:08.880553,Mixup,64,128,,0.20241388952551845,,64,0.002030247534596079,0.3604500896496009,16,64,4,3,meegnet,3.6561631487593144e-05,FAIL
34,,2025-06-12 16:21:43.058982,,,IRM,32,128,,0.26542066131877845,0.17601464036883033,32,0.00046045237887800615,,32,64,2,3,eegnet,7.704607523491868e-05,RUNNING
35,,2025-06-12 16:42:09.392739,2025-06-12 16:43:07.751678,0 days 00:00:58.358939,IRM,32,128,,0.26170885271348,0.17357282594503518,32,0.00045572741903883673,,32,64,2,3,eegnet,6.66979631035505e-05,FAIL
