number,value,datetime_start,datetime_complete,duration,params_algorithm,params_attn_d_model,params_attn_n_head,params_attn_n_layers,params_batch_size,params_coral_lambda,params_dro_eta,params_dropout,params_eegnet_depth_multiplier,params_eegnet_kernel_length,params_eegnet_n_filters_1,params_irm_lambda,params_lr,params_meegnet_n_filters_1,params_meegnet_n_filters_2,params_mixup_alpha,params_mmd_lambda,params_net_architecture,params_weight_decay,state
93,0.50390625,2025-06-14 01:09:33.314033,2025-06-14 01:21:08.512482,0 days 00:11:35.198449,MMD,128,4,2,32,4.822012761432665,0.057339121298227186,0.11333808642486351,2,64,16,0.6283411545002588,0.0037441374109592686,64,128,0.24221796313427235,0.303213425125794,eegnet,2.982165789736044e-05,COMPLETE
137,0.50390625,2025-06-14 05:10:56.145629,2025-06-14 05:22:14.826897,0 days 00:11:18.681268,MMD,128,2,2,32,7.564846271865256,0.05949343527012875,0.15390429867423508,2,64,16,4.504386454985126,0.0050985777203517,64,64,0.4851427343416233,0.36240030580652915,eegnet,1.5028785318439466e-05,COMPLETE
32,0.5,2025-06-13 21:17:11.427039,2025-06-13 21:29:35.055224,0 days 00:12:23.628185,CORAL,128,2,1,64,0.14830287769775524,0.0345695844349323,0.1647862853646757,4,64,32,7.544715575467109,0.0039333770132985255,16,128,0.27529140930678775,2.6805173364522217,eegnet,3.944280444417739e-05,COMPLETE
106,0.5,2025-06-14 02:31:12.071755,2025-06-14 02:44:49.645090,0 days 00:13:37.573335,MMD,128,2,2,32,1.6775213744282313,0.07263361870421031,0.14242924234131435,2,64,16,4.983475101715032,0.005361478921142386,64,64,0.46930481204809016,0.4798830545943314,eegnet,2.0925492774318912e-05,PRUNED
22,0.5,2025-06-13 20:17:27.819793,2025-06-13 20:26:18.113340,0 days 00:08:50.293547,CORAL,128,2,2,64,0.21797680328138228,0.08784365178507167,0.17615381481865022,2,64,32,0.5966685523795101,0.005765439990596272,16,64,0.2892746740145933,0.42067197917028715,eegnet,6.76023848643732e-05,COMPLETE
27,0.49609375,2025-06-13 20:48:10.695946,2025-06-13 20:59:19.846388,0 days 00:11:09.150442,CORAL,128,2,1,64,0.7969107973502568,0.0497760554066562,0.15357942587814866,4,64,32,7.710282094773913,0.0027208164961705365,16,128,0.3194228201324341,0.8711247811994276,eegnet,1.5213299211903931e-05,COMPLETE
142,0.49609375,2025-06-14 05:37:43.119764,2025-06-14 05:47:32.347019,0 days 00:09:49.227255,MMD,128,2,2,32,1.902120065513813,0.0587967123994368,0.17346219174905286,2,64,16,3.553034921136397,0.004801310064914942,64,64,0.48205634341505244,0.2727245263540631,eegnet,1.676666114404668e-05,COMPLETE
17,0.4921875,2025-06-13 19:43:19.133585,2025-06-13 19:56:26.185574,0 days 00:13:07.051989,CORAL,64,2,2,64,0.19457191599327522,0.015221189970545937,0.23039812533612541,2,64,32,2.0423393351447365,0.005476285103049021,16,64,0.20055214017517964,0.5210743407291881,eegnet,1.070262132176555e-05,COMPLETE
92,0.4921875,2025-06-14 00:59:47.727654,2025-06-14 01:09:33.299496,0 days 00:09:45.571842,MMD,128,4,2,32,5.7952074205468715,0.04739446775048811,0.12977537307498552,2,64,16,0.6412138691519592,0.004532811129038371,64,128,0.21725850149619405,0.372163307716727,eegnet,2.1689620850081532e-05,COMPLETE
118,0.4921875,2025-06-14 03:41:50.383769,2025-06-14 03:53:03.579065,0 days 00:11:13.195296,MMD,128,2,2,32,2.042335763476157,0.054055877532304175,0.3853564244705548,2,64,16,0.9818308040426988,0.005379637018656724,64,64,0.4668213144777288,0.5113676238102145,eegnet,1.1335894944391585e-05,COMPLETE
