number,value,datetime_start,datetime_complete,duration,params_algorithm,params_attn_d_model,params_attn_n_head,params_attn_n_layers,params_batch_size,params_coral_lambda,params_dro_eta,params_dropout,params_eegnet_depth_multiplier,params_eegnet_kernel_length,params_eegnet_n_filters_1,params_irm_lambda,params_lr,params_meegnet_n_filters_1,params_meegnet_n_filters_2,params_mixup_alpha,params_mmd_lambda,params_net_architecture,params_weight_decay,state
11,0.20588235294117646,2025-06-14 10:25:08.696809,2025-06-14 10:25:21.400400,0 days 00:00:12.703591,ERM,64,2,2,32,0.7921297526152777,0.054059563134501026,0.22753869471100052,2,32,16,8.37594899616342,0.00010489240000541261,64,64,0.4865023847883799,0.1328219697545434,meegnet,1.1535441678067222e-05,PRUNED
15,0.20588235294117646,2025-06-14 10:26:01.608771,2025-06-14 10:26:14.219053,0 days 00:00:12.610282,MMD,64,2,2,32,0.5410101897778622,0.0425247338403196,0.29490211233173014,2,32,16,0.6664529490018227,0.001444574926882921,16,64,0.4987821070329553,0.19482209810867548,eegnet,0.0009085575445897511,PRUNED
17,0.20588235294117646,2025-06-14 10:26:26.678559,2025-06-14 10:26:39.408690,0 days 00:00:12.730131,ERM,128,2,1,32,0.2622967699589213,0.01720689095301453,0.3549629712165628,2,32,16,0.5709847535084654,0.0024435302188015517,64,64,0.3326954022407335,0.20112606251058474,eegnet,0.00021920639862521663,PRUNED
115,0.20588235294117646,2025-06-14 11:45:42.326145,2025-06-14 11:45:55.260986,0 days 00:00:12.934841,ERM,64,2,2,32,0.9571835627776577,0.010742795246424703,0.23251185507067326,2,32,16,0.1567744144830523,0.008522656000098211,64,64,0.2999978269632466,0.16519628426970195,meegnet,0.00013667514068075315,PRUNED
116,0.20588235294117646,2025-06-14 11:45:55.277747,2025-06-14 11:46:07.481603,0 days 00:00:12.203856,MMD,64,4,1,32,1.1495694448853722,0.012561789455237747,0.2914997442616162,2,32,16,0.224752170405563,0.00553625685434992,64,64,0.35054108937888406,0.19966923548702767,meegnet,0.00011674648302483456,PRUNED
45,0.20588235294117646,2025-06-14 10:45:21.137282,2025-06-14 10:45:36.731935,0 days 00:00:15.594653,ERM,64,4,3,64,6.363703282778609,0.049391084915302925,0.21799042348743322,2,32,16,0.3094183304419525,0.0019192850186263886,64,64,0.4520608750864528,5.468738172564598,eegnet,0.00010849167483958913,PRUNED
42,0.20588235294117646,2025-06-14 10:41:51.516533,2025-06-14 10:42:03.658037,0 days 00:00:12.141504,MMD,64,2,3,32,6.317746079513502,0.032504737632722436,0.17109993232481507,2,32,16,0.36419968928514845,0.005485722184556424,64,64,0.23743184191313307,0.1314750636218419,meegnet,0.0001225789892758438,PRUNED
50,0.20588235294117646,2025-06-14 10:46:32.227548,2025-06-14 10:46:44.948270,0 days 00:00:12.720722,IRM,64,2,2,32,0.4452110808746658,0.029942539579686418,0.4357839484122299,2,32,16,9.752615675181769,0.004845193337275154,64,64,0.3177382521082358,0.41297000043704124,meegnet,1.243469632636664e-05,PRUNED
37,0.20588235294117646,2025-06-14 10:39:20.957911,2025-06-14 10:39:33.490807,0 days 00:00:12.532896,IRM,64,4,2,32,0.27311489241913794,0.07737327038985019,0.2766760068462003,4,64,8,1.2112421993275488,0.008096426759563116,16,128,0.28943213642015564,0.36507050572781463,eegnet,9.662482394940506e-05,PRUNED
83,0.20588235294117646,2025-06-14 11:17:57.344616,2025-06-14 11:18:09.895721,0 days 00:00:12.551105,MMD,64,2,3,32,1.0386259272102103,0.04630552552512081,0.1779728462999553,2,32,16,0.8019448323146804,0.008988386147926589,64,64,0.1983011794033449,0.16478217215228563,meegnet,8.66617999231368e-05,PRUNED
80,0.20588235294117646,2025-06-14 11:15:51.269747,2025-06-14 11:16:06.695301,0 days 00:00:15.425554,ERM,64,2,1,64,9.192829646891349,0.032334172082637086,0.14472095300605786,2,32,16,0.20857751621637688,0.0018189550691212052,64,64,0.1527513370573919,0.13862751605175316,eegnet,6.916599901532174e-05,PRUNED
62,0.20588235294117646,2025-06-14 10:56:26.268104,2025-06-14 10:56:39.125339,0 days 00:00:12.857235,MMD,64,2,2,32,7.058784893731802,0.023129796237271797,0.17360465617025764,2,32,16,0.30296324389278423,0.009957669414990909,64,64,0.1802304690570249,0.267335756303033,meegnet,0.00013559614189905602,PRUNED
56,0.20588235294117646,2025-06-14 10:52:07.138581,2025-06-14 10:52:20.181337,0 days 00:00:13.042756,ERM,64,2,2,32,1.586918374323155,0.012378184033666554,0.30671632023677886,2,32,16,0.2797694666011625,0.009993714628294516,64,128,0.26631302623357755,0.31129752526357357,eegnet,0.0003147612789317179,PRUNED
90,0.20588235294117646,2025-06-14 11:25:39.992148,2025-06-14 11:25:52.099083,0 days 00:00:12.106935,ERM,64,2,3,32,7.791237636827636,0.03378419010430579,0.24506727948407803,2,32,16,0.31315385890994163,0.007596386969059888,32,64,0.14116270504061276,0.37671540865368847,eegnet,0.000692843483284245,PRUNED
94,0.20588235294117646,2025-06-14 11:26:28.498065,2025-06-14 11:26:40.222387,0 days 00:00:11.724322,MMD,64,2,3,32,5.742742185798739,0.08974577580939735,0.397921769330295,2,32,16,0.625398118005661,0.006994499938973198,64,64,0.16386894577464597,0.11584243434224878,meegnet,4.838342522198901e-05,PRUNED
101,0.20588235294117646,2025-06-14 11:30:45.749964,2025-06-14 11:30:57.769251,0 days 00:00:12.019287,MMD,64,2,2,32,7.91572601366806,0.04188406097296692,0.17162974202800946,2,32,16,0.2502241517573032,0.007575186150980836,64,64,0.2739464507693069,0.1656155853466279,meegnet,3.041989030517491e-05,PRUNED
105,0.20588235294117646,2025-06-14 11:33:01.909911,2025-06-14 11:33:14.241352,0 days 00:00:12.331441,ERM,64,2,2,32,8.362718590712543,0.033603210903194757,0.33865543361977146,2,32,16,0.16093366635409243,0.009936008086482009,64,64,0.46998276431594793,0.11973821022339418,meegnet,5.3197979456792885e-05,PRUNED
137,0.20588235294117646,2025-06-14 12:01:14.986922,2025-06-14 12:01:27.228050,0 days 00:00:12.241128,MMD,64,2,1,32,7.140842260755302,0.010474245347530255,0.18784655429188257,2,32,16,0.19578208060757685,0.00820259643874455,64,64,0.4206499175564289,0.20455708363411507,meegnet,6.514480378461581e-05,PRUNED
136,0.20588235294117646,2025-06-14 12:01:02.017805,2025-06-14 12:01:14.978808,0 days 00:00:12.961003,CORAL,64,2,2,32,4.241261523235293,0.011976790179704619,0.17835578628324764,2,32,16,0.2229213752969136,0.001478654489807759,64,64,0.19284649893905692,0.3608365629803769,eegnet,0.00062814549935039,PRUNED
47,0.20588235294117646,2025-06-14 10:45:49.481559,2025-06-14 10:46:01.869819,0 days 00:00:12.388260,MMD,64,2,1,32,7.785296160472495,0.08359876916880433,0.24952896602038013,2,32,16,1.8046768997670775,0.0004905786411931586,16,64,0.19750514017232704,0.12495046480922556,eegnet,0.0002310770040240094,PRUNED
49,0.20588235294117646,2025-06-14 10:46:14.627992,2025-06-14 10:46:32.219817,0 days 00:00:17.591825,MMD,64,4,1,128,5.621218632182865,0.02573145642496788,0.3238110317579854,2,32,16,0.23509379252743715,0.0001534669454312687,32,64,0.2401058421056922,0.28703065873369105,attention,2.0478830172283787e-05,PRUNED
54,0.20588235294117646,2025-06-14 10:51:42.450548,2025-06-14 10:51:54.730450,0 days 00:00:12.279902,MMD,64,2,2,32,1.2837670843432423,0.015487116532379462,0.2566564998556381,2,32,16,0.18448734220039742,0.006443437063067504,64,64,0.1767941645231243,0.11815730980598786,meegnet,0.00017296132654514516,PRUNED
25,0.20588235294117646,2025-06-14 10:34:00.101092,2025-06-14 10:34:13.391521,0 days 00:00:13.290429,Mixup,64,2,1,32,0.41582172879886786,0.016518718050686602,0.3212898043401873,2,32,16,0.1064174390283641,0.004499340677538302,64,64,0.2557452202212557,0.2945271547635081,eegnet,0.00015977643362579834,PRUNED
26,0.20588235294117646,2025-06-14 10:34:13.399568,2025-06-14 10:34:25.501675,0 days 00:00:12.102107,CORAL,128,4,2,32,0.14440376339536334,0.06686181652598948,0.21440781090185534,4,32,16,0.44374201319577733,0.006926264922012088,64,64,0.10492941150241483,0.5808605165390435,meegnet,6.948025673006583e-05,PRUNED
104,0.20588235294117646,2025-06-14 11:32:49.090525,2025-06-14 11:33:01.902103,0 days 00:00:12.811578,MMD,64,2,2,32,9.738011925771008,0.09932593198381791,0.18573632622691463,2,32,16,0.3380386151844098,0.007383888926821471,64,64,0.28210426629934254,0.25892266535927716,meegnet,4.5988531688834996e-05,PRUNED
77,0.20588235294117646,2025-06-14 11:13:45.770577,2025-06-14 11:13:57.737196,0 days 00:00:11.966619,MMD,64,2,2,32,4.566341818725885,0.03787480268590177,0.1657705391443791,2,32,16,0.13219727801051126,0.0001931417509980307,64,64,0.27144755938087145,0.9020504530095209,meegnet,0.0002787385104646307,PRUNED
61,0.20588235294117646,2025-06-14 10:56:14.023572,2025-06-14 10:56:26.253098,0 days 00:00:12.229526,MMD,64,2,2,32,8.672571449974868,0.02779821649591472,0.15526916096177878,2,32,16,0.24618282532885993,0.00833202146120787,64,64,0.2096972618281287,0.2761230649043828,meegnet,0.00012117776921019053,PRUNED
6,0.16666666666666666,2025-06-14 10:23:57.127956,2025-06-14 10:24:12.098321,0 days 00:00:14.970365,IRM,128,2,1,64,3.110567159698085,0.08180349421497535,0.1230629892499397,4,64,8,3.3939004393892125,0.001577709824909025,64,64,0.44446886454476375,1.0340285764617327,meegnet,1.1651708269308112e-06,PRUNED
5,0.16666666666666666,2025-06-14 10:23:39.768910,2025-06-14 10:23:57.111404,0 days 00:00:17.342494,CORAL,128,4,3,128,0.21471158879035987,0.058590046121870326,0.4241404644331178,4,64,16,0.4116386440316854,0.0038556189782625264,64,32,0.13852061618582848,7.022975286509966,meegnet,0.00010736259077643528,PRUNED
18,0.16666666666666666,2025-06-14 10:26:39.416497,2025-06-14 10:26:56.502131,0 days 00:00:17.085634,MMD,128,4,1,128,1.1116850070621556,0.04336427111872125,0.144887928744941,2,32,16,0.20072374028817477,0.0009828741773049456,16,32,0.4206549823291207,0.10074558918796674,meegnet,4.802643977733146e-05,PRUNED
19,0.16666666666666666,2025-06-14 10:26:56.517399,2025-06-14 10:27:11.703661,0 days 00:00:15.186262,ERM,64,2,2,64,0.5571799625197374,0.09928932380551474,0.26363080875180483,2,32,32,0.9473139616106376,0.0002807926481300522,32,128,0.13057079494399365,0.5338645464296,attention,0.0003810311641179332,PRUNED
9,0.16666666666666666,2025-06-14 10:24:43.239215,2025-06-14 10:24:55.800294,0 days 00:00:12.561079,IRM,64,4,1,32,0.17649795852097264,0.09616238370055794,0.3601529899095729,2,64,32,0.34507542348959785,0.0035336013869164216,64,128,0.25264129650424483,4.208344976589074,attention,3.3597876058685474e-06,PRUNED
8,0.16666666666666666,2025-06-14 10:24:28.219836,2025-06-14 10:24:43.230879,0 days 00:00:15.011043,Mixup,128,2,3,64,2.1152678149100463,0.030236541635025555,0.42536809604900594,4,64,8,0.3668119462333893,0.0006034857175859761,32,64,0.4566918752380388,0.43837975158018466,attention,8.873624043309035e-05,PRUNED
14,0.16666666666666666,2025-06-14 10:25:47.528119,2025-06-14 10:26:01.600442,0 days 00:00:14.072323,ERM,64,4,2,32,0.11151194560727146,0.06871163465616736,0.20569971817096816,2,32,16,0.21987944661492753,0.00029143023971886023,64,64,0.3881751473582482,0.7573202770418931,attention,1.631241545863862e-05,PRUNED
13,0.16666666666666666,2025-06-14 10:25:34.716632,2025-06-14 10:25:47.519307,0 days 00:00:12.802675,ERM,64,2,1,32,1.410636785147337,0.05507839680431307,0.10393177550089687,2,32,16,0.7561169595263122,0.0015845066332438324,64,64,0.2154964370551819,0.30521123673795003,meegnet,0.0002037272474146004,PRUNED
143,0.16666666666666666,2025-06-14 12:09:12.516907,2025-06-14 12:09:28.286736,0 days 00:00:15.769829,MMD,128,2,1,64,0.40689292223023016,0.011486915057956543,0.1978541062696379,4,32,16,1.1162100687834204,0.00040934356281528944,16,64,0.4784766987874393,0.3463014881346219,meegnet,0.00011695766545915207,PRUNED
133,0.16666666666666666,2025-06-14 12:00:25.070760,2025-06-14 12:00:36.851289,0 days 00:00:11.780529,MMD,64,2,2,32,0.7451801746327398,0.031154743859599803,0.2524082314434793,2,32,16,0.14388066096542196,0.0010654188623979222,64,64,0.19965594048407312,0.3124214104463058,meegnet,0.0007254752695357749,PRUNED
